id,name,type,location_lat,location_lng
1,한가네숯불닭갈비 역삼점,기타,37.50556214100605,127.04729193191818
2,누구나홀딱반한닭 선릉1호점,기타,37.50525108256985,127.04781763922493
3,지구당 역삼두꺼비빌딩점,일식,37.502819584351,127.04471166191041
4,유부엔,일식,37.50491257921801,127.04361586896833
5,네모오징어 선릉점,한식,37.50480195147105,127.04430004058634
6,맘스터치 선릉점,패스트푸드,37.50466162746803,127.04604730081279
7,맥도날드 선릉점,패스트푸드,37.50353728530389,127.04690613187739
8,아방베이커리 센터필드점,디저트/빵,37.503557262576834,127.04168681114614
9,요베이글,디저트/빵,37.505977967477605,127.04375220713727
10,두레국수,한식,37.504861009744694,127.0429655315341
11,모쿠,일식,37.50539256877203,127.04305914180588
12,선릉순대국,한식,37.504711990332495,127.04392676825482
13,옐로베리 역삼점,한식,37.50267224705449,127.04708936787888
14,미트앤번버거샵 강남점,패스트푸드,37.502737492019136,127.04728449555694
15,채린,중식,37.505654255954504,127.0478829278053
16,반포식스 선릉역점,베트남식,37.50578456644935,127.04870297397014
17,화차이,중식,37.50341713238441,127.04880604876124
18,테라바이트,카페,37.50325473270842,127.04360642245538
19,라피자노스트라 선릉본점,서양식,37.50451580099028,127.05013847432255
20,북창동순두부 선릉2호점,한식,37.50286872609064,127.05127396695374
21,김태주 선산곱창 강남점,한식,37.50241620648368,127.05072798255108
22,포하임 선릉점,베트남식,37.50343655977405,127.05081066662203
23,비건비거닝,디저트/빵,37.503002536336005,127.04912809717976
24,카페드리옹 역삼점,디저트/빵,37.50452477320879,127.04461654683271
25,아야커피,카페,37.504426225313985,127.04310099791692
26,oph 센터필드점,카페,37.503606919290064,127.04139844636794
27,담소소사골순대육개장 역삼3호점,한식,37.504935544963566,127.04240574381376
28,어메이징타이,기타,37.50486290238184,127.04394382121657
29,유대감 숯불갈비,한식,37.504750068222066,127.04450075670904
30,만월,중식,37.49986295985414,127.0421908323999
31,에그드랍,패스트푸드,37.50244707891253,127.04688000385686
32,한성마라탕,중식,37.504953175520946,127.04347734865779
33,메이크샐러드,기타,37.50496680672571,127.04316068467
34,딸부자네불백 역삼점,한식,37.50417755953432,127.04547304175216
